state,district,crop_type,season,irrigation_type,soil_type,land_size_acres,land_size_hectares,recommended_dose_kg_per_acre,max_allowed_qty_kg,past_fertilizer_usage_kg,expected_yield_kg,yield_per_ha_kg
Haryana,HaryanaDist33,Cotton,Kharif,Borewell,Clay,0.59,0.239,20,13.42,14.58,168.78,700
Chhattisgarh,ChhattisgarhDist55,Soybean,Rabi,Rainfed,Loam,5.89,2.384,20,114.33,137.48,2794.37,1200
Nagaland,NagalandDist133,Paddy,Kharif,Rainfed,Clay,1.52,0.615,50,80.79,77.7,2414.8,4000
Manipur,ManipurDist57,Paddy,Kharif,Borewell,Loam,1.92,0.777,50,104.53,94.31,2856.35,4000
Andhra Pradesh,AndhraDist19,Paddy,Kharif,Rainfed,Loam,0.58,0.235,50,27.94,34.47,1040.17,4000
Mizoram,MizoramDist147,Paddy,Kharif,Borewell,Clay,1.18,0.478,50,59.65,40.47,2159.68,4000
Odisha,OdishaDist109,Groundnut,Kharif,Rainfed,Clay,1.99,0.805,25,45.28,32.98,1261.87,1600
Maharashtra,MaharashtraDist87,Soybean,Zaid,Borewell,Sandy,0.73,0.295,20,16.26,9.69,344.15,1200
Uttar Pradesh,UttarDist119,Wheat,Rabi,Borewell,Loam,2.46,0.996,45,125.37,76.51,3153.5,3500
Haryana,HaryanaDist4,Wheat,Rabi,Canal,Sandy,1.13,0.457,45,47.66,52.07,1620.02,3500
Assam,AssamDist43,Paddy,Kharif,Borewell,Clay,1.44,0.583,50,76.83,83.67,2612.42,4000
Madhya Pradesh,MadhyaDist179,Wheat,Rabi,Rainfed,Clay,1.13,0.457,45,53.39,56.46,1497.42,3500
Telangana,TelanganaDist189,Cotton,Zaid,Rainfed,Loam,8.02,3.246,20,153.28,118.94,1970.98,700
Nagaland,NagalandDist136,Paddy,Kharif,Rainfed,Loam,1.8,0.728,50,83.49,81.89,3280.34,4000
Goa,GoaDist61,Paddy,Kharif,Rainfed,Loam,0.78,0.316,50,42.41,25.14,1098.97,4000
Madhya Pradesh,MadhyaDist108,Wheat,Rabi,Rainfed,Sandy,3.52,1.424,45,138.56,156.25,5164.3,3500
Sikkim,SikkimDist34,Potato,Rabi,Rainfed,Loam,0.69,0.279,40,29.02,22.2,6489.98,25000
Sikkim,SikkimDist26,Potato,Rabi,Canal,Loam,2.15,0.87,40,87.41,86.32,22162.96,25000
Assam,AssamDist95,Paddy,Kharif,Canal,Loam,0.38,0.154,50,23.18,22.28,685.11,4000
Jharkhand,JharkhandDist168,Paddy,Kharif,Canal,Sandy,0.63,0.255,50,33.33,31.42,1168.87,4000
Mizoram,MizoramDist35,Paddy,Kharif,Rainfed,Sandy,2.13,0.862,50,94.18,109.82,3901.95,4000
Himachal Pradesh,HimachalDist53,Apple,Kharif,Rainfed,Loam,3.29,1.331,5,15.99,16.34,28366.75,20000
Sikkim,SikkimDist109,Potato,Rabi,Canal,Clay,2.09,0.846,40,96.65,96.14,18558.62,25000
Uttarakhand,UttarakhandDist190,Wheat,Rabi,Borewell,Clay,1.66,0.672,45,84.26,75.76,2183.32,3500
Manipur,ManipurDist10,Maize,Zaid,Borewell,Loam,1.43,0.579,30,52.45,45.01,1812.21,3500
Uttarakhand,UttarakhandDist11,Wheat,Rabi,Canal,Loam,0.56,0.227,45,27.95,15.81,760.98,3500
Kerala,KeralaDist105,Paddy,Kharif,Rainfed,Sandy,1.02,0.413,50,43.29,56.46,1841.4,4000
Punjab,PunjabDist106,Wheat,Rabi,Rainfed,Loam,1.26,0.51,45,61.81,70.0,1951.05,3500
Andhra Pradesh,AndhraDist189,Paddy,Kharif,Rainfed,Clay,4.24,1.716,50,216.8,183.93,7213.33,4000
Uttar Pradesh,UttarDist57,Wheat,Rabi,Borewell,Sandy,2.4,0.971,45,101.44,126.03,3765.06,3500
Gujarat,GujaratDist72,Cotton,Rabi,Borewell,Loam,0.44,0.178,20,9.36,9.06,120.85,700
West Bengal,WestDist138,Paddy,Kharif,Rainfed,Clay,2.36,0.955,50,111.0,109.87,4025.98,4000
Karnataka,KarnatakaDist28,Ragi,Kharif,Rainfed,Clay,1.34,0.542,15,18.25,24.64,504.12,1000
Punjab,PunjabDist148,Paddy,Kharif,Borewell,Clay,1.06,0.429,50,56.06,65.71,1518.02,4000
Gujarat,GujaratDist190,Cotton,Kharif,Rainfed,Loam,2.97,1.202,20,60.67,66.78,888.51,700
Telangana,TelanganaDist170,Cotton,Kharif,Borewell,Loam,4.16,1.683,20,101.8,99.72,1221.99,700
West Bengal,WestDist179,Paddy,Kharif,Rainfed,Clay,3.84,1.554,50,186.31,198.43,5891.85,4000
Jharkhand,JharkhandDist158,Pulses,Kharif,Borewell,Sandy,0.93,0.376,10,10.28,9.67,295.29,700
Odisha,OdishaDist156,Groundnut,Rabi,Canal,Loam,1.42,0.575,25,38.39,26.15,998.27,1600
Rajasthan,RajasthanDist189,Wheat,Rabi,Canal,Clay,2.38,0.963,45,118.65,99.85,3668.09,3500
Goa,GoaDist193,Paddy,Kharif,Borewell,Sandy,3.98,1.611,50,207.75,162.76,7058.05,4000
Haryana,HaryanaDist157,Cotton,Rabi,Borewell,Loam,1.24,0.502,20,25.96,15.62,402.27,700
West Bengal,WestDist103,Paddy,Kharif,Canal,Sandy,1.57,0.635,50,81.05,83.75,2452.97,4000
Haryana,HaryanaDist200,Wheat,Rabi,Rainfed,Loam,0.75,0.304,45,36.98,39.13,1185.15,3500
Maharashtra,MaharashtraDist32,Maize,Kharif,Rainfed,Sandy,0.7,0.283,30,19.4,13.29,916.88,3500
Manipur,ManipurDist194,Paddy,Kharif,Rainfed,Sandy,3.49,1.412,50,161.62,168.1,5339.77,4000
Manipur,ManipurDist64,Maize,Zaid,Canal,Loam,5.39,2.181,30,190.53,146.91,7082.88,3500
Uttarakhand,UttarakhandDist183,Wheat,Rabi,Rainfed,Sandy,1.72,0.696,45,71.04,58.48,2392.27,3500
Jharkhand,JharkhandDist99,Paddy,Kharif,Borewell,Clay,4.07,1.647,50,234.74,132.76,5898.16,4000
Tamil Nadu,TamilDist16,Paddy,Kharif,Rainfed,Loam,2.43,0.983,50,121.56,99.03,3893.34,4000
Gujarat,GujaratDist148,Cotton,Rabi,Rainfed,Sandy,1.09,0.441,20,21.82,13.36,344.04,700
Madhya Pradesh,MadhyaDist108,Soybean,Kharif,Rainfed,Clay,2.43,0.983,20,49.43,56.12,1340.59,1200
Nagaland,NagalandDist174,Paddy,Kharif,Canal,Clay,6.24,2.525,50,329.95,193.09,9604.39,4000
Uttar Pradesh,UttarDist101,Paddy,Kharif,Rainfed,Clay,1.77,0.716,50,92.81,109.52,2894.51,4000
Odisha,OdishaDist98,Paddy,Kharif,Borewell,Clay,6.37,2.578,50,316.75,286.68,8920.25,4000
Karnataka,KarnatakaDist21,Maize,Rabi,Borewell,Clay,0.22,0.089,30,6.76,8.04,304.28,3500
Meghalaya,MeghalayaDist200,Paddy,Kharif,Rainfed,Loam,3.52,1.424,50,196.62,145.64,5954.64,4000
Rajasthan,RajasthanDist122,Bajra,Kharif,Rainfed,Loam,1.95,0.789,12,25.39,23.49,654.52,900
Sikkim,SikkimDist156,Paddy,Kharif,Canal,Loam,1.43,0.579,50,79.85,54.81,2223.76,4000
Punjab,PunjabDist80,Wheat,Rabi,Rainfed,Loam,1.96,0.793,45,97.92,59.12,2381.11,3500
Odisha,OdishaDist27,Groundnut,Rabi,Rainfed,Loam,0.37,0.15,25,8.63,9.7,248.72,1600
Tamil Nadu,TamilDist137,Sugarcane,Zaid,Rainfed,Loam,1.53,0.619,80,131.77,118.47,37374.62,70000
Maharashtra,MaharashtraDist111,Sugarcane,Kharif,Canal,Clay,2.42,0.979,80,187.53,169.02,68352.34,70000
Kerala,KeralaDist158,Rubber,Rabi,Rainfed,Clay,5.94,2.404,10,53.9,55.78,25123.39,10000
Uttar Pradesh,UttarDist23,Sugarcane,Rabi,Canal,Sandy,1.2,0.486,80,99.45,77.71,31398.18,70000
Himachal Pradesh,HimachalDist127,Paddy,Kharif,Borewell,Clay,0.95,0.384,50,51.57,49.13,1462.33,4000
West Bengal,WestDist180,Maize,Kharif,Canal,Clay,1.22,0.494,30,41.49,30.06,1925.17,3500
Himachal Pradesh,HimachalDist195,Maize,Kharif,Canal,Loam,3.79,1.534,30,117.47,121.44,5349.77,3500
Haryana,HaryanaDist104,Cotton,Rabi,Rainfed,Clay,2.37,0.959,20,45.46,28.97,629.93,700
Tamil Nadu,TamilDist191,Paddy,Kharif,Borewell,Sandy,1.19,0.482,50,58.98,57.11,1836.02,4000
Nagaland,NagalandDist81,Maize,Rabi,Rainfed,Clay,2.75,1.113,30,76.91,61.86,4153.68,3500
Bihar,BiharDist186,Wheat,Rabi,Canal,Sandy,1.97,0.797,45,84.63,65.66,2777.08,3500
Odisha,OdishaDist137,Groundnut,Kharif,Rainfed,Clay,3.95,1.599,25,90.58,70.77,2184.83,1600
Chhattisgarh,ChhattisgarhDist193,Maize,Kharif,Rainfed,Sandy,1.04,0.421,30,27.55,37.87,1533.99,3500
Meghalaya,MeghalayaDist14,Paddy,Kharif,Rainfed,Sandy,1.4,0.567,50,61.71,63.78,2157.94,4000
Himachal Pradesh,HimachalDist14,Paddy,Kharif,Borewell,Loam,1.33,0.538,50,73.33,43.1,2236.54,4000
Chhattisgarh,ChhattisgarhDist107,Paddy,Kharif,Rainfed,Clay,0.57,0.231,50,25.37,21.7,938.76,4000
Punjab,PunjabDist110,Wheat,Rabi,Rainfed,Clay,2.31,0.935,45,99.75,92.28,3625.42,3500
Jharkhand,JharkhandDist68,Pulses,Zaid,Borewell,Sandy,2.25,0.911,10,21.09,24.66,661.38,700
Sikkim,SikkimDist177,Paddy,Kharif,Borewell,Loam,1.83,0.741,50,103.95,64.21,2881.0,4000
Punjab,PunjabDist19,Paddy,Kharif,Borewell,Loam,1.51,0.611,50,81.38,59.17,2708.0,4000
Sikkim,SikkimDist30,Paddy,Kharif,Rainfed,Sandy,0.59,0.239,50,27.63,33.11,868.48,4000
Nagaland,NagalandDist79,Paddy,Kharif,Rainfed,Clay,1.3,0.526,50,67.02,42.02,1893.46,4000
Punjab,PunjabDist129,Paddy,Kharif,Canal,Clay,1.39,0.563,50,77.19,73.31,2548.87,4000
Nagaland,NagalandDist7,Maize,Rabi,Borewell,Loam,0.96,0.388,30,34.86,31.03,1402.05,3500
Assam,AssamDist69,Paddy,Kharif,Rainfed,Sandy,1.6,0.647,50,74.9,49.08,2795.71,4000
Odisha,OdishaDist47,Paddy,Kharif,Rainfed,Loam,2.52,1.02,50,127.46,128.96,4588.42,4000
Odisha,OdishaDist27,Groundnut,Zaid,Rainfed,Loam,8.24,3.335,25,208.36,178.28,5048.97,1600
West Bengal,WestDist195,Paddy,Kharif,Borewell,Sandy,2.1,0.85,50,106.74,108.22,3297.84,4000
Nagaland,NagalandDist132,Paddy,Kharif,Canal,Clay,2.24,0.906,50,114.13,75.64,3922.47,4000
Uttarakhand,UttarakhandDist194,Rice,Zaid,Rainfed,Clay,1.72,0.696,30,49.15,37.25,2001.59,3000
Meghalaya,MeghalayaDist125,Millet,Kharif,Borewell,Sandy,0.39,0.158,15,5.52,4.61,158.27,900
Bihar,BiharDist4,Paddy,Kharif,Rainfed,Sandy,1.78,0.72,50,86.74,94.46,2717.78,4000
Nagaland,NagalandDist128,Maize,Kharif,Borewell,Loam,1.91,0.773,30,63.95,38.76,2974.89,3500
Tamil Nadu,TamilDist142,Sugarcane,Zaid,Rainfed,Clay,13.07,5.289,80,1079.68,1293.57,341782.57,70000
Chhattisgarh,ChhattisgarhDist198,Maize,Kharif,Rainfed,Sandy,1.56,0.631,30,45.16,32.23,1924.42,3500
Uttar Pradesh,UttarDist151,Paddy,Kharif,Borewell,Sandy,2.32,0.939,50,112.64,69.79,4010.17,4000
Odisha,OdishaDist117,Groundnut,Kharif,Canal,Clay,1.77,0.716,25,45.95,42.42,1161.0,1600
Karnataka,KarnatakaDist191,Maize,Zaid,Borewell,Clay,0.72,0.291,30,21.93,23.85,880.19,3500
Meghalaya,MeghalayaDist129,Millet,Rabi,Rainfed,Sandy,4.55,1.841,15,68.75,62.92,1427.02,900
Odisha,OdishaDist37,Groundnut,Kharif,Rainfed,Clay,3.33,1.348,25,74.34,99.22,1842.67,1600
Maharashtra,MaharashtraDist85,Maize,Kharif,Canal,Clay,3.43,1.388,30,106.72,108.07,5076.64,3500
West Bengal,WestDist139,Jute,Zaid,Borewell,Clay,0.88,0.356,15,14.49,15.53,638.71,1800
Arunachal Pradesh,ArunachalDist112,Paddy,Kharif,Borewell,Sandy,5.6,2.266,50,308.4,349.53,9736.05,4000
Bihar,BiharDist12,Wheat,Rabi,Rainfed,Loam,0.59,0.239,45,26.71,27.91,936.82,3500
Karnataka,KarnatakaDist47,Ragi,Rabi,Borewell,Clay,2.91,1.178,15,43.5,41.26,1200.93,1000
Goa,GoaDist37,Paddy,Kharif,Borewell,Clay,10.51,4.253,50,576.02,397.56,19120.05,4000
Haryana,HaryanaDist74,Paddy,Kharif,Rainfed,Clay,0.82,0.332,50,37.82,24.85,1448.68,4000
Sikkim,SikkimDist177,Paddy,Kharif,Borewell,Clay,1.16,0.469,50,68.06,46.08,2138.02,4000
Himachal Pradesh,HimachalDist98,Paddy,Kharif,Rainfed,Loam,1.97,0.797,50,110.03,113.73,2812.62,4000
Odisha,OdishaDist71,Groundnut,Zaid,Borewell,Sandy,1.22,0.494,25,29.79,37.69,827.45,1600
Andhra Pradesh,AndhraDist74,Groundnut,Zaid,Rainfed,Loam,0.53,0.214,25,14.57,14.37,377.44,1600
Tripura,TripuraDist194,Paddy,Kharif,Rainfed,Clay,1.92,0.777,50,87.9,69.46,2875.48,4000
Telangana,TelanganaDist113,Cotton,Zaid,Rainfed,Sandy,0.78,0.316,20,13.23,15.72,190.43,700
Arunachal Pradesh,ArunachalDist139,Millet,Zaid,Borewell,Clay,2.66,1.076,15,41.28,34.72,881.86,900
Kerala,KeralaDist76,Rubber,Zaid,Rainfed,Loam,0.87,0.352,10,8.43,9.88,3501.6,10000
Telangana,TelanganaDist186,Maize,Kharif,Canal,Loam,6.3,2.55,30,197.57,232.13,9887.43,3500
Sikkim,SikkimDist138,Potato,Rabi,Rainfed,Sandy,0.97,0.393,40,34.78,43.22,8382.57,25000
Bihar,BiharDist96,Maize,Rabi,Rainfed,Sandy,1.41,0.571,30,37.12,35.86,2080.14,3500
Bihar,BiharDist157,Wheat,Rabi,Borewell,Loam,3.49,1.412,45,180.75,190.51,4688.18,3500
Haryana,HaryanaDist36,Cotton,Kharif,Rainfed,Clay,0.68,0.275,20,14.24,10.83,187.33,700
Arunachal Pradesh,ArunachalDist100,Paddy,Kharif,Borewell,Clay,2.19,0.886,50,108.45,82.41,3584.98,4000
Manipur,ManipurDist40,Maize,Zaid,Rainfed,Sandy,5.18,2.096,30,155.56,135.58,7870.22,3500
Maharashtra,MaharashtraDist61,Cotton,Rabi,Rainfed,Clay,0.5,0.202,20,8.8,8.41,139.23,700
West Bengal,WestDist102,Maize,Kharif,Rainfed,Clay,2.11,0.854,30,61.87,78.21,2861.9,3500
Himachal Pradesh,HimachalDist6,Apple,Kharif,Rainfed,Clay,2.24,0.906,5,9.98,8.26,18888.64,20000
Arunachal Pradesh,ArunachalDist151,Millet,Kharif,Rainfed,Sandy,3.41,1.38,15,44.36,58.28,1262.18,900
Gujarat,GujaratDist34,Groundnut,Rabi,Rainfed,Sandy,0.68,0.275,25,14.12,19.69,393.37,1600
Nagaland,NagalandDist151,Maize,Kharif,Borewell,Loam,0.63,0.255,30,19.72,15.74,969.55,3500
Karnataka,KarnatakaDist122,Ragi,Kharif,Borewell,Loam,2.77,1.121,15,48.94,39.14,1203.6,1000
Manipur,ManipurDist169,Maize,Zaid,Canal,Clay,2.31,0.935,30,74.28,84.17,2823.67,3500
Mizoram,MizoramDist176,Maize,Rabi,Rainfed,Loam,2.23,0.902,30,62.21,60.97,3065.35,3500
Bihar,BiharDist33,Maize,Zaid,Rainfed,Loam,2.4,0.971,30,78.99,58.27,3040.73,3500
Himachal Pradesh,HimachalDist117,Maize,Zaid,Canal,Sandy,1.06,0.429,30,31.25,39.64,1515.15,3500
Mizoram,MizoramDist185,Maize,Kharif,Rainfed,Loam,2.19,0.886,30,71.47,67.22,3352.21,3500
West Bengal,WestDist187,Paddy,Kharif,Canal,Loam,2.3,0.931,50,127.14,130.85,3610.0,4000
Bihar,BiharDist18,Maize,Rabi,Borewell,Clay,1.03,0.417,30,32.28,21.61,1644.02,3500
Assam,AssamDist16,Paddy,Kharif,Borewell,Loam,8.11,3.282,50,477.87,341.52,11671.27,4000
Odisha,OdishaDist185,Groundnut,Zaid,Borewell,Clay,2.66,1.076,25,76.44,80.58,1682.53,1600
Arunachal Pradesh,ArunachalDist58,Millet,Zaid,Borewell,Loam,0.7,0.283,15,11.99,7.75,266.94,900
West Bengal,WestDist110,Paddy,Kharif,Borewell,Sandy,3.08,1.246,50,152.62,168.74,5096.57,4000
West Bengal,WestDist178,Jute,Zaid,Rainfed,Sandy,0.84,0.34,15,11.73,12.55,640.86,1800
Himachal Pradesh,HimachalDist37,Apple,Kharif,Borewell,Clay,3.42,1.384,5,19.83,14.16,25034.88,20000
Odisha,OdishaDist97,Groundnut,Kharif,Borewell,Sandy,4.6,1.862,25,127.83,75.86,3005.73,1600
Maharashtra,MaharashtraDist22,Soybean,Rabi,Borewell,Clay,0.95,0.384,20,21.23,20.99,470.7,1200
Arunachal Pradesh,ArunachalDist109,Paddy,Kharif,Borewell,Sandy,3.94,1.594,50,182.74,128.65,6269.01,4000
Meghalaya,MeghalayaDist174,Millet,Rabi,Borewell,Sandy,2.54,1.028,15,35.83,33.51,864.96,900
Odisha,OdishaDist53,Groundnut,Zaid,Rainfed,Loam,3.52,1.424,25,84.63,109.11,1974.77,1600
Jharkhand,JharkhandDist111,Paddy,Kharif,Rainfed,Clay,8.31,3.363,50,386.0,281.7,13441.22,4000
Goa,GoaDist91,Paddy,Kharif,Borewell,Sandy,1.5,0.607,50,72.27,72.24,2550.53,4000
Assam,AssamDist110,Tea,Zaid,Borewell,Loam,1.0,0.405,10,11.16,6.51,954.98,2500
Odisha,OdishaDist159,Groundnut,Zaid,Rainfed,Clay,0.89,0.36,25,19.93,13.65,545.98,1600
Manipur,ManipurDist102,Maize,Kharif,Canal,Loam,0.95,0.384,30,30.44,28.01,1355.25,3500
West Bengal,WestDist136,Maize,Zaid,Borewell,Clay,1.71,0.692,30,57.95,33.33,2518.85,3500
Mizoram,MizoramDist38,Paddy,Kharif,Rainfed,Clay,2.39,0.967,50,112.41,146.13,4037.61,4000
Haryana,HaryanaDist20,Wheat,Rabi,Borewell,Loam,2.27,0.919,45,107.52,71.44,3465.2,3500
Goa,GoaDist163,Cashew,Rabi,Rainfed,Sandy,3.53,1.429,5,16.08,21.19,1164.95,800
Punjab,PunjabDist162,Paddy,Kharif,Rainfed,Sandy,1.84,0.745,50,81.64,81.5,2950.72,4000
Jharkhand,JharkhandDist95,Maize,Zaid,Borewell,Sandy,5.83,2.359,30,163.09,157.43,7112.14,3500
Uttarakhand,UttarakhandDist142,Wheat,Rabi,Borewell,Loam,1.47,0.595,45,76.07,61.49,2058.82,3500
Uttar Pradesh,UttarDist39,Sugarcane,Kharif,Canal,Sandy,16.06,6.499,80,1346.14,1039.39,451622.04,70000
Arunachal Pradesh,ArunachalDist11,Millet,Kharif,Rainfed,Clay,3.01,1.218,15,47.89,29.56,1144.35,900
Haryana,HaryanaDist73,Cotton,Rabi,Rainfed,Sandy,0.92,0.372,20,17.01,12.94,250.68,700
Madhya Pradesh,MadhyaDist25,Soybean,Rabi,Rainfed,Loam,0.77,0.312,20,16.56,15.72,325.23,1200
Nagaland,NagalandDist21,Maize,Rabi,Borewell,Sandy,2.68,1.085,30,89.25,79.74,3397.81,3500
Odisha,OdishaDist153,Paddy,Kharif,Rainfed,Clay,1.52,0.615,50,80.4,80.1,2380.74,4000
Tamil Nadu,TamilDist180,Paddy,Kharif,Borewell,Clay,3.23,1.307,50,177.83,131.38,4644.72,4000
Uttarakhand,UttarakhandDist55,Rice,Zaid,Rainfed,Sandy,2.66,1.076,30,71.47,66.69,2919.63,3000
Karnataka,KarnatakaDist130,Sugarcane,Kharif,Borewell,Loam,1.72,0.696,80,144.27,109.02,52935.76,70000
Tripura,TripuraDist178,Paddy,Kharif,Rainfed,Sandy,0.93,0.376,50,39.71,39.29,1352.89,4000
Tripura,TripuraDist114,Paddy,Kharif,Rainfed,Loam,0.54,0.219,50,26.99,28.07,805.29,4000
Punjab,PunjabDist121,Paddy,Kharif,Rainfed,Clay,1.27,0.514,50,58.32,47.97,2342.96,4000
Uttarakhand,UttarakhandDist98,Rice,Rabi,Rainfed,Sandy,3.62,1.465,30,109.47,97.75,4107.17,3000
Mizoram,MizoramDist96,Maize,Kharif,Rainfed,Sandy,2.16,0.874,30,55.42,49.41,3189.01,3500
Nagaland,NagalandDist70,Paddy,Kharif,Rainfed,Sandy,0.67,0.271,50,32.96,26.31,1170.17,4000
Manipur,ManipurDist90,Paddy,Kharif,Rainfed,Loam,2.09,0.846,50,115.63,77.78,3333.57,4000
Andhra Pradesh,AndhraDist8,Maize,Kharif,Borewell,Clay,2.48,1.004,30,75.55,92.74,3380.86,3500
Karnataka,KarnatakaDist179,Ragi,Zaid,Rainfed,Loam,0.9,0.364,15,12.76,10.62,400.25,1000
Uttarakhand,UttarakhandDist39,Rice,Zaid,Canal,Sandy,2.06,0.834,30,56.78,40.26,2317.83,3000
Nagaland,NagalandDist160,Maize,Kharif,Rainfed,Loam,1.91,0.773,30,56.03,36.16,2640.26,3500
Manipur,ManipurDist62,Paddy,Kharif,Borewell,Clay,0.73,0.295,50,39.83,22.29,1187.13,4000
Tamil Nadu,TamilDist171,Paddy,Kharif,Borewell,Loam,2.43,0.983,50,139.71,91.9,3835.09,4000
Sikkim,SikkimDist130,Paddy,Kharif,Canal,Clay,2.85,1.153,50,139.68,134.23,4623.57,4000
Nagaland,NagalandDist192,Paddy,Kharif,Borewell,Clay,4.33,1.752,50,211.12,184.34,6742.75,4000
Andhra Pradesh,AndhraDist194,Maize,Kharif,Borewell,Sandy,4.23,1.712,30,133.09,84.69,6138.59,3500
Karnataka,KarnatakaDist119,Maize,Kharif,Borewell,Clay,0.61,0.247,30,20.8,13.06,936.36,3500
Tamil Nadu,TamilDist76,Sugarcane,Zaid,Borewell,Loam,0.86,0.348,80,70.74,75.99,24052.81,70000
Gujarat,GujaratDist140,Groundnut,Kharif,Rainfed,Clay,2.75,1.113,25,72.28,64.28,2041.9,1600
Meghalaya,MeghalayaDist168,Millet,Kharif,Rainfed,Loam,2.75,1.113,15,40.21,47.87,865.72,900
Karnataka,KarnatakaDist99,Paddy,Kharif,Borewell,Clay,2.75,1.113,50,145.44,118.25,4371.07,4000
Karnataka,KarnatakaDist187,Maize,Rabi,Rainfed,Clay,20.0,8.094,30,629.77,562.52,30887.32,3500
Maharashtra,MaharashtraDist170,Cotton,Rabi,Rainfed,Loam,2.88,1.165,20,59.13,46.59,713.07,700
Jharkhand,JharkhandDist187,Maize,Rabi,Rainfed,Clay,4.52,1.829,30,122.81,120.49,6300.59,3500
West Bengal,WestDist172,Maize,Zaid,Rainfed,Clay,3.91,1.582,30,116.77,130.73,4802.71,3500
Rajasthan,RajasthanDist156,Wheat,Rabi,Borewell,Sandy,3.07,1.242,45,145.51,168.45,3882.36,3500
Sikkim,SikkimDist146,Potato,Rabi,Borewell,Loam,1.42,0.575,40,60.57,57.9,13772.24,25000
Arunachal Pradesh,ArunachalDist136,Paddy,Kharif,Rainfed,Clay,3.34,1.352,50,157.76,183.03,5526.51,4000
Kerala,KeralaDist133,Coconut,Rabi,Rainfed,Loam,0.98,0.397,10,10.87,6.05,2873.91,8000
Madhya Pradesh,MadhyaDist178,Maize,Kharif,Borewell,Clay,1.51,0.611,30,50.46,33.5,2210.55,3500
Meghalaya,MeghalayaDist23,Paddy,Kharif,Borewell,Loam,1.24,0.502,50,69.07,73.42,1974.19,4000
Uttar Pradesh,UttarDist41,Sugarcane,Rabi,Rainfed,Sandy,1.95,0.789,80,131.36,148.58,61724.79,70000
Tamil Nadu,TamilDist36,Cotton,Zaid,Rainfed,Clay,11.61,4.698,20,225.39,157.64,2993.85,700
Haryana,HaryanaDist34,Paddy,Kharif,Borewell,Sandy,0.41,0.166,50,21.15,18.53,759.86,4000
Punjab,PunjabDist197,Wheat,Rabi,Borewell,Clay,3.16,1.279,45,167.22,151.77,4510.33,3500
Maharashtra,MaharashtraDist33,Cotton,Kharif,Rainfed,Sandy,0.5,0.202,20,8.44,9.03,142.38,700
Uttarakhand,UttarakhandDist42,Rice,Kharif,Canal,Loam,1.25,0.506,30,44.91,35.13,1428.4,3000
Karnataka,KarnatakaDist163,Maize,Rabi,Rainfed,Sandy,4.35,1.76,30,129.43,150.06,5700.37,3500
Nagaland,NagalandDist149,Maize,Kharif,Rainfed,Sandy,1.92,0.777,30,53.37,53.38,2449.15,3500
Chhattisgarh,ChhattisgarhDist11,Paddy,Kharif,Rainfed,Sandy,0.77,0.312,50,38.23,31.55,1404.95,4000
Uttarakhand,UttarakhandDist147,Rice,Kharif,Borewell,Sandy,1.03,0.417,30,33.11,23.86,1141.99,3000
